[2024-01-28 15:25:47,639: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 15:26:59,953: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 3 of 3). These functions will not be directly callable after loading.]
[2024-01-28 15:27:01,151: INFO: builder_impl: Assets written to: ram://d483839d-e2a1-4167-b53b-a361f4144a4b/assets]
[2024-01-28 15:27:41,218: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 15:27:41,220: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 15:27:41,221: INFO: common: created directory at: artifacts]
[2024-01-28 15:27:41,222: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 15:38:24,792: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 15:38:24,797: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 15:38:24,798: INFO: common: created directory at: artifacts]
[2024-01-28 15:38:24,800: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 15:38:49,115: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 15:38:49,118: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 15:38:49,119: INFO: common: created directory at: artifacts]
[2024-01-28 15:38:49,119: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 15:40:01,378: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 3 of 3). These functions will not be directly callable after loading.]
[2024-01-28 15:40:02,709: INFO: builder_impl: Assets written to: ram://ec79ddab-e826-4016-aeb4-8054336b693d/assets]
[2024-01-28 15:56:16,009: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 15:56:16,010: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 15:56:16,011: INFO: common: created directory at: artifacts]
[2024-01-28 15:56:16,012: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 15:57:31,375: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 3 of 3). These functions will not be directly callable after loading.]
[2024-01-28 15:57:32,473: INFO: builder_impl: Assets written to: ram://00899be3-846c-4582-9d15-9a8dfc64de0b/assets]
[2024-01-28 16:04:05,823: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 16:04:05,824: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 16:04:05,826: INFO: common: created directory at: artifacts]
[2024-01-28 16:04:05,827: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 16:05:19,282: WARNING: save: Found untraced functions such as _jit_compiled_convolution_op, _jit_compiled_convolution_op, _jit_compiled_convolution_op while saving (showing 3 of 3). These functions will not be directly callable after loading.]
[2024-01-28 16:07:50,959: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 16:07:50,963: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 16:07:50,963: INFO: common: created directory at: artifacts]
[2024-01-28 16:07:50,964: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 16:23:38,481: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 16:23:38,498: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 16:23:38,500: INFO: common: created directory at: artifacts]
[2024-01-28 16:23:38,501: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 16:59:20,138: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 16:59:20,141: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 16:59:20,141: INFO: common: created directory at: artifacts]
[2024-01-28 16:59:20,142: INFO: common: created directory at: artifacts\model_trainer]
[2024-01-28 17:21:42,502: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-28 17:21:42,513: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-28 17:21:42,515: INFO: common: created directory at: artifacts]
[2024-01-28 17:27:29,980: INFO: common: yaml file: config\config.yaml loaded successfully]
